ANSI = American National Standards Institute
ASCII = American Standard Code for Information Interchangen
API = Application Programming Interface
BIOS = Basic Input/Output System
GRUB = Grand Unified Bootloader
IDE = Integrated Drive Electronics
ISA = Instruction Set Architecture
ISO = International Standards Organization
OS = Operating System
PCI = Peripheral Component Interconnect
POSIX = Portable Operating System Interface
RAM = Random Access Memory
ROM = Read Only Memory
RTFM = Read The Fine Manuel
SCSI = Small Computer System Interface
VLSI = Very Large Scale Integration
RPC = Remote Procedure Call
 
