1901,3,Jacobus Henricus van 't Hoff,30,8,1852,the Netherlands,M
1901,1,Sully Prudhomme,16,3,1839,France,M
1901,5,Emil Adolf von Behring,15,3,1854,Prussia,M
1901,4,Frédéric Passy,20,5,1822,France,M
1901,4,Jean Henry Dunant,8,5,1828,Switzerland,M
1901,2,Wilhelm Conrad Röntgen,27,3,1845,Prussia,M
1902,3,Hermann Emil Fischer,9,11,1852,Prussia,M
1902,1,Christian Matthias Theodor Mommsen,30,10,1817,Schleswig,M
1902,5,Ronald Ross,13,5,1857,India,M
1902,4,Charles Albert Gobat,21,5,1843,Switzerland,M
1902,4,Élie Ducommun,19,2,1833,Switzerland,M
1902,2,Hendrik Antoon Lorentz,18,7,1853,the Netherlands,M
1902,2,Pieter Zeeman,25,5,1865,the Netherlands,M
1903,3,Svante August Arrhenius,19,2,1859,Sweden,M
1903,1,Bjørnstjerne Martinus Bjørnson,8,12,1832,Norway,M
1903,5,Niels Ryberg Finsen,15,12,1860,Faroe Islands,M
1903,4,William Randal Cremer,18,3,1828,United Kingdom,M
1903,2,Antoine Henri Becquerel,15,12,1852,France,M
1903,2,Marie Curie,07,11,1867,Poland,F
1903,2,Pierre Curie,15,5,1859,France,M
1904,3,Sir William Ramsay,2,11,1852,Scotland,M
1904,1,Frédéric Mistral,8,9,1830,France,M
1904,1,José Echegaray y Eizaguirre,19,4,1832,Spain,M
1904,5,Ivan Petrovich Pavlov,14,9,1849,Russia,M
1904,4,Institut de droit international,,,1873,Belgium,O
1904,2,Lord Rayleigh ,12,10,1842,United Kingdom,M
1905,3,Johann Friedrich Wilhelm Adolf von Baeyer,31,11,1835,Prussia,M
1905,1,Henryk Sienkiewicz,5,5,1846,Poland,M
1905,5,Robert Koch,11,12,1843,Germany,M
1905,4,Bertha Sophie Felicita von Suttner,09,06,1845,Bohemia,F
1905,2,Philipp Eduard Anton von Lenard,7,6,1862,Hungary,M
1906,3,Henri Moissan,28,9,1852,France,M
1906,1,Giosuè Carducci,27,7,1835,Tuscany,M
1906,5,Camillo Golgi,7,7,1843,Italy,M
1906,5,Santiago Ramón y Cajal,1,5,1852,Spain,M
1906,4,Theodore Roosevelt,27,11,1858,USA,M
1906,2,Joseph John Thomson,18,12,1856,United Kingdom,M
1907,3,Eduard Buchner,20,5,1860,Bavaria,M
1907,1,Rudyard Kipling,30,12,1865,British India,M
1907,5,Charles Louis Alphonse Laveran,18,6,1845,France,M
1907,4,Ernesto Teodoro Moneta,20,9,1833,Austrian Empire,M
1907,4,Louis Renault,21,5,1843,France,M
1907,2,Albert Abraham Michelson,19,12,1852,Prussia,M
1908,3,Ernest Rutherford,31,8,1871,New Zealand,M
1908,1,Rudolf Christoph Eucken,5,1,1846,East Friesland,M
1908,5,Ilya Ilyich Mechnikov,16,5,1845,Russian Empire,M
1908,5,Paul Ehrlich,14,3,1854,Prussia,M
1908,4,Fredrik Bajer,21,4,1837,Denmark,M
1908,4,Klas Pontus Arnoldson,27,11,1844,Sweden,M
1908,2,Gabriel Lippmann,16,8,1845,Luxembourg,M
1909,3,Wilhelm Ostwald,2,9,1853,Russian Empire,M
1909,1,Selma Ottilia Lovisa Lagerlöf,20,10,1858,Sweden,M
1909,5,Emil Theodor Kocher,25,8,1841,Switzerland,M
1909,4,Auguste Marie François Beernaert,26,7,1829,Belgium,M
1909,2,Guglielmo Marconi,25,4,1874,Italy,M
1909,2,Karl Ferdinand Braun,6,6,1850,Hesse-Kassel,M
1910,3,Otto Wallach,27,3,1847,Germany,M
1910,1,Paul Johann Ludwig Heyse,15,3,1830,Prussia,M
1910,5,Albrecht Kossel,16,9,1853,Mecklenburg,M
1910,4,Bureau international permanent de la Paix ,,,1891,Switzerland,O
1910,2,Johannes Diderik van der Waals,23,10,1837,the Netherlands,M
1911,3,Marie Curie,07,11,1867,Poland,F
1911,1,Count Maurice Polidore Marie Bernhard Maeterlinck,29,8,1862,Belgium,M
1911,5,Allvar Gullstrand,5,6,1862,Sweden,M
1911,4,Alfred Hermann Fried,11,10,1864,Austria,M
1911,4,Tobias Michael Carel Asser,28,4,1838,the Netherlands,M
1911,2,Wilhelm Wien,13,1,1864,Prussia,M
1912,3,Paul Sabatier,5,10,1854,France,M
1912,3,Victor Grignard,6,5,1871,France,M
1912,1,Gerhart Johann Robert Hauptmann,15,10,1862,Prussia,M
1912,5,Alexis Carrel,28,6,1873,France,M
1912,4,Elihu Root,15,2,1845,USA,M
1912,2,Nils Gustaf Dalén,30,10,1869,Sweden,M
1913,3,Alfred Werner,12,12,1866,France,M
1913,1,Rabindranath Tagore,7,5,1861,India,M
1913,5,Charles Robert Richet,26,8,1850,France,M
1913,4,Henri La Fontaine,22,4,1854,Belgium,M
1913,2,Heike Kamerlingh Onnes,21,9,1853,the Netherlands,M
1914,3,Theodore William Richards,31,1,1868,USA,M
1914,5,Robert Bárány,22,4,1876,Austria,M
1914,2,Max von Laue,9,11,1879,Germany,M
1915,3,Richard Martin Willstätter,13,8,1872,Germany,M
1915,1,Romain Rolland,29,1,1866,France,M
1915,2,Sir William Henry Bragg,2,7,1862,United Kingdom,M
1915,2,William Lawrence Bragg,31,3,1890,Australia,M
1916,1,Carl Gustaf Verner von Heidenstam,6,7,1859,Sweden,M
1917,1,Henrik Pontoppidan,24,7,1857,Denmark,M
1917,1,Karl Adolph Gjellerup,2,6,1857,Denmark,M
1917,4,Comité international de la Croix Rouge ,0,0,1863,Switzerland,O
1917,2,Charles Glover Barkla,7,6,1877,United Kingdom,M
1918,3,Fritz Haber,9,12,1868,Prussia,M
1918,2,Max Karl Ernst Ludwig Planck,23,4,1858,Schleswig,M
1919,1,Carl Friedrich Georg Spitteler,24,4,1845,Switzerland,M
1919,5,Jules Bordet,13,6,1870,Belgium,M
1919,4,Thomas Woodrow Wilson,28,12,1856,USA,M
1919,2,Johannes Stark,15,4,1874,Germany,M
1920,3,Walther Hermann Nernst,25,6,1864,Prussia,M
1920,1,Knut Pedersen Hamsun,4,8,1895,Norway,M
1920,5,Schack August Steenberg Krogh,15,10,1874,Denmark,M
1920,4,Léon Victor Auguste Bourgeois,21,5,1851,France,M
1920,2,Charles Edouard Guillaume,15,2,1861,Switzerland,M
1921,3,Frederick Soddy,2,9,1877,United Kingdom,M
1921,1,Anatole France,16,4,1844,France,M
1921,4,Christian Lous Lange,17,9,1869,Norway,M
1921,4,Karl Hjalmar Branting,23,10,1860,Sweden,M
1921,2,Albert Einstein,14,3,1879,Germany,M
1922,3,Francis William Aston,1,9,1877,United Kingdom,M
1922,1,Jacinto Benavente,12,8,1866,Spain,M
1922,5,Archibald Vivian Hill,26,9,1886,United Kingdom,M
1922,5,Otto Fritz Meyerhof,12,4,1884,Germany,M
1922,4,Fridtjof Nansen,10,11,1861,Norway,M
1922,2,Niels Henrik David Bohr,7,11,1885,Denmark,M
1923,3,Fritz Pregl,3,9,1869,Austria-Hungary,M
1923,1,William Butler Yeats,13,6,1865,Ireland,M
1923,5,Frederick Grant Banting,14,10,1891,Canada,M
1923,5,John James Rickard Macleod,6,9,1876,Scotland,M
1923,2,Robert Andrews Millikan,22,3,1868,USA,M
1924,1,Wladyslaw Stanislaw Reymont,7,5,1867,Russian Empire,M
1924,5,Willem Einthoven,21,5,1860,Dutch East Indies,M
1924,2,Karl Manne Georg Siegbahn,3,12,1886,Sweden,M
1925,3,Richard Adolf Zsigmondy,1,4,1865,Austrian Empire,M
1925,1,George Bernard Shaw,26,7,1856,Ireland,M
1925,4,Charles Gates Dawes,27,8,1865,USA,M
1925,4,Sir Austen Chamberlain,16,11,1863,United Kingdom,M
1925,2,Gustav Ludwig Hertz,22,7,1887,Germany,M
1925,2,James Franck,26,8,1882,Germany,M
1926,3,The Svedberg,30,8,1884,Sweden,M
1926,1,Grazia Deledda,27,9,1871,Italy,F
1926,5,Johannes Andreas Grib Fibiger,23,4,1867,Denmark,M
1926,4,Aristide Briand,28,3,1862,France,M
1926,4,Gustav Stresemann,10,5,1878,Germany,M
1926,2,Jean Baptiste Perrin,30,9,1870,France,M
1927,3,Heinrich Otto Wieland,4,6,1877,Germany,M
1927,1,Henri Bergson,18,11,1859,France,M
1927,5,Julius Wagner-Jauregg,7,3,1857,Austria,M
1927,4,Ferdinand Buisson,20,12,1841,France,M
1927,4,Ludwig Quidde,23,3,1858,Germany,M
1927,2,Arthur Holly Compton,10,9,1892,USA,M
1927,2,Charles Thomson Rees Wilson,14,2,1869,Scotland,M
1928,3,Adolf Otto Reinhold Windaus,25,12,1876,Germany,M
1928,1,Sigrid Undset,20,5,1882,Denmark,F
